Time,step,pos_x,pos_y,action,reward,episode_reward
2019年11月15日17:54:21,0,0,45,2,-10.0,-10.0
2019年11月15日17:54:28,1,0,45,4,-10.0,-20.0
2019年11月15日17:54:35,2,0,45,5,-10.0,-30.0
2019年11月15日17:54:42,3,0,45,1,-10.0,-40.0
2019年11月15日17:54:49,4,0,45,0,-10.0,-50.0
2019年11月15日17:54:55,5,0,45,0,-10.0,-60.0
2019年11月15日17:55:02,6,0,45,0,-10.0,-70.0
2019年11月15日17:55:09,7,0,45,0,-10.0,-80.0
2019年11月15日17:55:16,8,0,45,1,-10.0,-90.0
2019年11月15日17:55:23,9,0,45,5,-10.0,-100.0
2019年11月15日17:55:30,10,0,45,0,-10.0,-110.0
2019年11月15日17:55:37,11,0,45,0,-10.0,-120.0
2019年11月15日17:55:44,12,0,45,1,-10.0,-130.0
2019年11月15日17:55:51,13,0,45,4,-10.0,-140.0
2019年11月15日17:55:57,14,0,45,0,-10.0,-150.0
2019年11月15日17:56:04,15,0,45,3,-10.0,-160.0
2019年11月15日17:56:12,16,0,45,2,-10.0,-170.0
2019年11月15日17:56:18,17,0,45,0,-10.0,-180.0
2019年11月15日17:56:25,18,0,45,0,-10.0,-190.0
2019年11月15日17:56:32,19,0,45,0,-10.0,-200.0
2019年11月15日17:56:48,0,0,45,5,-10.0,-10.0
2019年11月15日17:56:56,1,0,45,1,-10.0,-20.0
2019年11月15日17:57:02,2,0,45,3,-10.0,-30.0
2019年11月15日17:57:08,3,0,45,5,-10.0,-40.0
2019年11月15日17:57:15,4,0,45,0,-10.0,-50.0
2019年11月15日17:57:45,0,10.0,50.0,0,-45.8072364399774,-45.8072364399774
2019年11月15日17:57:55,1,38.50000000000001,53.0,1,18.020170677028574,-27.787065762948828
2019年11月15日17:58:05,2,35.16666666666667,52.333333333333336,0,-5.815999322915161,-33.60306508586399
2019年11月15日17:58:12,3,35.0,51.5,0,-9.823537878694282,-43.42660296455827
2019年11月15日17:58:18,4,75.16666666666667,52.166666666666664,1,29.959930127144162,-13.466672837414109
2019年11月15日17:58:25,5,74.638671875,52.17964172363281,0,-10.02165049361858,-23.48832333103269
2019年11月15日17:58:32,6,73.49999999999999,53.166666666666664,0,-9.493131609783603,-32.98145494081629
2019年11月15日17:58:39,7,71.83333333333333,52.5,0,-11.796490994003051,-44.77794593481934
2019年11月15日17:58:46,8,75.0,51.5,4,-9.956787795725035,-54.73473373054438
2019年11月15日17:58:53,9,74.66666666666666,52.166666666666664,0,-10.012580952459018,-64.7473146830034
2019年11月15日17:59:00,10,93.83333333333333,59.666666666666664,1,7.826451503873983,-56.92086317912941
2019年11月15日17:59:07,11,92.5,59.666666666666664,0,-10.815448583553945,-67.73631176268336
2019年11月15日17:59:14,12,102.16666666666667,83.66666666666667,1,-5.008312457014142,-72.7446242196975
2019年11月15日17:59:21,13,105.33333333333333,86.0,1,-11.958625081627844,-84.70324930132534
2019年11月15日17:59:28,14,105.5,86.0,1,-10.085173250925834,-94.78842255225118
2019年11月15日17:59:35,15,105.83333333333333,86.0,0,-9.838926233796627,-104.6273487860478
2019年11月15日17:59:47,16,105.5,86.0,1,-10.118211833270891,-114.7455606193187
2019年11月15日17:59:55,17,105.685546875,85.88259887695312,1,-10.036905780519675,-124.78246639983837
2019年11月15日18:00:02,18,105.33333333333333,82.33333333333333,0,-9.148243230497854,-133.93070963033622
2019年11月15日18:00:09,19,107.5,84.66666666666667,2,-6.8063741271074605,-140.73708375744368
2019年11月15日18:00:16,20,23.833333333333332,54.166666666666664,4,-10.0,-150.73708375744368
2019年11月15日18:00:23,21,200.6547648111979,51.67857360839844,0,166.62465069684023,15.88756693939655
2019年11月15日18:00:30,22,200.5,53.5,0,-9.89167299649312,5.995893942903429
2019年11月15日18:00:37,23,200.4775187174479,53.52247111002604,0,-10.260487067996472,-4.264593125093043
2019年11月15日18:00:43,24,200.5,53.5,3,-10.116809233379882,-14.381402358472926
2019年11月15日18:00:51,25,200.33333333333334,53.333333333333336,4,-10.323190523010233,-24.70459288148316
2019年11月15日18:00:58,26,199.83333333333334,52.666666666666664,0,-10.549081435776785,-35.25367431725994
2019年11月15日18:01:05,27,1.5,14.166666666666666,3,-10.0,-45.25367431725994
2019年11月15日18:01:12,28,1.5,14.166666666666666,5,-10.0,-55.25367431725994
2019年11月15日18:01:19,29,1.5,14.166666666666666,0,-10.0,-65.25367431725994
2019年11月15日18:01:26,30,1.5,14.166666666666666,0,-10.0,-75.25367431725994
2019年11月15日18:01:33,31,1.5,14.166666666666666,2,-10.0,-85.25367431725994
