Time,step,pos_x,pos_y,angle,action,reward,episode_reward
2019年11月17日13:29:52,0,6.533333460489910,33.5,40,0,-6.889011930867920,-6.889011930867920
2019年11月17日13:29:57,1,6.467479705810550,33.5,40,1,-8.506768283396300,-15.39578021426420
2019年11月17日13:30:05,2,6.537036895751950,33.5,40,0,-8.139382706639540,-23.53516292090380
2019年11月17日13:30:18,3,6.467479705810550,33.5,40,0,-10.0,-33.53516292090380
2019年11月17日13:30:24,4,6.467479705810550,33.5,40,1,-10.0,-43.53516292090380
2019年11月17日13:30:31,5,6.363247553507490,33.5,35,0,-10.0,-53.53516292090380
2019年11月17日13:30:36,6,6.3484846750895200,33.5,35,1,-9.43240283818426,-62.96756575908800
2019年11月17日13:30:44,7,8.18710708618164,49.59748331705730,32,0,12.385161841518200,-50.58240391756980
2019年11月17日13:30:51,8,6.039682388305660,33.5,31,0,-36.708627170888200,-87.29103108845810
2019年11月17日13:30:59,9,5.904761632283530,33.166666666666700,31,0,-37.26170874128200,-124.55273982974000
2019年11月17日13:31:16,0,6.0625,33.333333333333300,31,0,-32.20473481123660,-32.20473481123660
2019年11月17日13:31:23,1,8.18710708618164,49.59748331705730,59,0,13.505011516580800,-18.699723294655800
2019年11月17日13:31:31,2,8.171361287434900,49.441314697265600,60,0,-10.545542942047900,-29.245266236703700
2019年11月17日13:31:37,3,69.98538208007810,32.564328511556000,28,4,601.512618701694,572.2673524649900
2019年11月17日13:31:42,4,82.66666666666670,36.166666666666700,52,1,732.2016746682710,1304.469027133260
2019年11月17日13:31:48,5,8.171361287434900,49.441314697265600,38,1,-729.9361532823410,574.5328738509200
2019年11月17日13:31:55,6,8.132553736368820,49.520467122395800,43,0,-766.9293715128670,-192.39649766194700
2019年11月17日13:32:00,7,8.321371714274090,49.34130859375000,27,1,-11.6637113416337,-204.06020900358100
2019年11月17日13:32:05,8,8.18710708618164,49.59748331705730,28,1,-11.463893802009900,-215.52410280559100
2019年11月17日13:32:11,9,8.368766148885090,48.8989512125651,33,1,-7.936388313522120,-223.46049111911300
2019年11月17日13:32:16,10,8.132553736368820,49.1871337890625,33,1,-11.923180019284100,-235.38367113839700
2019年11月17日13:32:21,11,8.0,49.0,58,1,-11.639442800756400,-247.02311393915300
2019年11月17日13:32:27,12,8.179381052652990,49.26948547363280,34,1,-13.23004210891550,-260.253156048069
2019年11月17日13:32:32,13,8.279279073079430,49.58220926920570,26,1,-7.29565442591138,-267.5488104739800
2019年11月17日13:32:38,14,8.279279073079430,49.58220926920570,38,1,-8.946239446376010,-276.4950499203560
2019年11月17日13:32:45,15,41.333333333333300,37.0,38,0,320.89288864395500,44.39783872359820
2019年11月17日13:32:53,16,8.333333333333330,49.833333333333300,52,0,-308.5264093144490,-264.12857059085100
2019年11月17日13:33:01,17,102.16666666666700,14.333333333333300,52,0,106.95844371963200,-157.17012687121800
2019年11月17日13:33:06,18,114.83333333333300,2.8333333333333300,59,1,96.1624284233369,-61.00769844788140
2019年11月17日13:33:11,19,8.18710708618164,49.59748331705730,59,1,-952.4996814345640,-1013.5073798824500
2019年11月17日13:33:19,20,8.401961008707680,49.833333333333300,59,0,-1036.7596984253000,-2050.2670783077400
2019年11月17日13:33:24,21,8.18710708618164,49.59748331705730,48,1,-1373.3754405929200,-3423.6425189006700
